College,Program/Cluster,SDG Targeted,Year,Title,Authors,Date Presented in Conference/ Published,Scopus or Non-Scopus,Publication Format,Conference/ Venue,Country,Publication Title,PUBLISHED
MITL,EE,SDG 3,2024,Impact of Heavy Load Backpack in Thoracic Spine for Posture Monitoring using Wearable Inertial Sensor on Elementary Students,"Capul, M.C.F.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering - Melborne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
MITL,AR,SDG 11; SDG 13,2024,Development of Wood-Plastic Soil Tray Composite (WPSTC) using Polymerized Coir-Wood Dust for Green Roof Structures,"Gacutan, W.;Del Pilar, H.",Feb-24,Scopus,Proceeding,"9th International Conference on Building Materials and Construction/ Tokyo, Japan - Online Participation",Japan,Materials Science Forum ISSN Print 0255-5476,WAITING FOR PUBLICATION
MITL,CE,SDG 9; SDG 12; SDG 11,2024,Effect of Blending Constant Concentration of Acrylic Polymer with Varying Amount of Fly Ash to the Permeability and Strength of Large Aggregate Pervious Concrete,"Del Pilar, H.",Feb-24,Scopus,Proceeding,"9th International Conference on Building Materials and Construction/ Tokyo, Japan - Online Participation",Japan,Materials Science Forum ISSN Print 0255-5476,WAITING FOR PUBLICATION
CHS,,SDGs 3; SDG 8; SDG 5,2024,Reduction of Power of Sine and Cosine Function with n=3 to its simplest form using Half Angle Identities,"Diez, M.A.B.",Mar-24,Scopus,Journal,4th International Conference on Research in Psychology (ICRPCONF)/ United Kingdom-Online Participation,United Kingdom,Studia Psychologica,UNDER EVALUATION
MITL,CHE,SDG 9; SDG 12,2024,The Effect of Chemical Texturization Parameters on the Diameter of Pyramids on Silicon Solar Wafers,"De Los Reyes, R.A.S.",Mar-24,Scopus,Proceeding,2024 15th International Conference on Materials and Manufacturing Technologie/ Online Presentation,,Key Engineering Materials,WAITING FOR PUBLICATION
MITL,CHE,SDG 4,2024,Outcomes Attainment in Online Learning: An Analysis of Engineering Students' Perceptions using MAXQDA,"Abdon, R.G.",Jun-24,Scopus,Proceeding,8th International Conference on Education and Multimedia Technology (ICEMT 2024),,ACM Iternational Conference Proceedings,TO BE PRESENTED
MITL,CHE,SDG 12,2024,Adsorption of Iron (II) ions from Simulated Industrial Wastewater utilizing Activated Carbon from Cogon Grass (Imperata Cylindrica),"Panaligan, T.",Apr-24,Scopus,Proceeding,2024 14th International Conference on Environmental Engineering and Application (ICEEA),,Â International Journal of Environmental Science and DevelopmentÂ ,WAITING FOR PUBLICATION
ETYCB,Hospitality Management,SDG 4,2024,Mathematical Modeling of the Post-Covid 19 Pandemic Perception of Students on the Use of E-Learning for Educational Sustainability,"Torres, R.;Ruiz, M.U.;Austria, M.R.R.",Mar-24,Scopus,Proceeding,"15th International Conference on E-Education, E-Business, E-Management and E-Learning (IC4E 2024)/ Fukuoka, Japan",Japan,ACM International Conference Proceeding Series,WAITING FOR PUBLICATION
CAS,MATH,SDG 4,2024,Reduction of Power of Sine and Cosine Function with n=3 to its simplest form using Half Angle Identities,"Dampil, F.",Sep-24,Scopus,Proceeding,"2ND Joint International Conference on Mathematics, Statistics, and Engineering (J-CoMSE 2024)/ Kuala Terengganu, Malaysia",Malaysia, AIP Conference Proceedings; Journal of Advanced Research in Applied Sciences and Engineering Technology,TO BE PRESENTED
MITL,ECE,SDG 3,2024,â€‹â€‹â€‹â€‹Prediction of Chronic Kidney Disease Using Ammonia Gas Sensor with Supports of Other Non-Invasive Attributes,"Garcillanosa, M.",Jun-24,Scopus,Proceeding,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,CPE,SDG 3,2024,CNN-Based Anemia Detection in Blood Smear Images,"Ortiz, K.J.P.;Pabiania, M.D.",Jun-24,Scopus,Proceeding,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,CPE,SDG 3,2024,Hands-Free Electrolarynx with Pitch Control,"Salvador, C.S.;Pabiania, M.D.",Jun-24,Scopus,Proceeding,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,CPE,SDG 3,2024,Patient Information System for Dental Clinics with Integrated Facial Recognition,"Pabiania, M.D.",Jun-24,Scopus,Journal,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,CPE,SDG 3,2024,Assistive Method for the Detection of Dental Caries using Blob Spot Detection Algorithm,"Lazaro, J.B.",Jun-24,Scopus,Journal,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,EE,SDG 3,2024,Electromyography Data Collector with Real-Time Monitoring of Muscle Improvement Through Android Technology for Patients Experiencing Muscle Pain,"Capul, M.C.F.",Jun-24,Scopus,Proceeding,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,ME,SDG 12,2024,Energy and Exergy Assessment of a Modular Offshore Seaweed Solar Dryer,"Atienza, A.H.S.","Atienza, A. H.",Scopus,Journal,"10th International Conference on Low Carbon Asia/ Beijing, China (ICLCA)",China,Chemical Engineeting Transactions,TO BE PRESENTED
MITL,ME,SDG 12,2024,Design and Performance Evaluation of a Modular Onshore Natural Convection Solar Dryer for Seaweeds,"Atienza, A.H.S.",Sep-24,Scopus,Journal,"10th International Conference on Low Carbon Asia/ Beijing, China (ICLCA)",China,Chemical Engineeting Transactions,TO BE PRESENTED
ETYCB,Business Administration,SDG 8; SDG 11,2024,Customersâ€™ Behavioral Intention and Actual Use of Mobile Shopping Platforms: Understanding Predictors Through Mathematical ModellingÂ ,"Torres, R.",May-24,Scopus,Proceeding,"International Conference on E-Commerce, E-Business, E-Government (ICEEG 2024)/ UAE",United Arab Emirates,ACM Iternational Conference Proceedings,TO BE PRESENTED
ETYCB,Business Administration,SDG 8; SDG 11,2024,AI Chaatbots in E-Commerce Platforms: A Statistical Model of Customer Adoption,"Torres, R.;Moreno, D.E.;Rodrigo, R.",Aug-24,Scopus,Proceeding,"The 8th International Conference on Business and Information Management (ICBIM)/ Pattaya, Thailand",Thailand,IEEE Conference Proceeding,TO BE PRESENTED
ETYCB,Business Administration,SDG 8; SDG 9,2024,"The effect of Technological, Personal, and Environmental Factors on Server-Based Money Users","Gabatin, R.A.M.",Aug-24,Scopus,Proceeding,"The 8th International Conference on Business and Information Management (ICBIM)/ Pattaya, Thailand",Thailand,IEEE Conference Proceeding,TO BE PRESENTED
ETYCB,Business Administration,SDG 8; SDG 9,2024,E-Suuply Chain Management Adoption Intention of Small and Medium Enterprises in the Philippines: Integration of TAM and TOE Approach,"Moreno, D.E.L.;Gabatin, R.A.;Abrahano, C.",Aug-24,Scopus,Proceeding,"The 8th International Conference on Business and Information Management (ICBIM)/ Pattaya, Thailand",Thailand,IEEE Conference Proceeding,TO BE PRESENTED
ETYCB,Business Administration,SDG 8; SDG 9,2024,The Role of User-Generated Content on Customers' Purchase Intent and Behaior: A Basis for E-Commerce Content Strategy for Micro and Small Enterprises,"Colaljo, J.M.;Moreno, D.E.L.",Aug-24,Scopus,Proceeding,"The 8th International Conference on Business and Information Management (ICBIM)/ Pattaya, Thailand",Thailand,IEEE Conference Proceeding,TO BE PRESENTED
ETYCB,Business Administration,SDG 8; SDG 9; SDG 11,2024,Examining Consumer Readiness for Artificial Intelligence Integration in Online Shopping ,"Rodrigo, R.C.;Torres, R.C.;Moreno, D.E.L.",Aug-24,Scopus,Proceeding,"The 8th International Conference on Business and Information Management (ICBIM)/ Pattaya, Thailand",Thailand,IEEE Conference Proceeding,TO BE PRESENTED
ETYCB,Business Administration,SDG 8; SDG 9,2024,The impact of Mobile Application Attributes on Purchase Behavior among GenZ Consumers: The Case of Tiktok Shop,"Gecolea, J.P.;Moreno, D.E.;Colaljo, J.",Aug-24,Scopus,Proceeding,"The 8th International Conference on Business and Information Management (ICBIM)/ Pattaya, Thailand",Thailand,IEEE Conference Proceeding,TO BE PRESENTED
MITL,,SDG 3,2024,Design of Real-Time Vital Signs Monitoring System for Ambulance using Dijkstra Algorithm,"Ortiz, K.J.P.",Jun-24,Scopus,Proceeding,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,,SDG 3,2024,Molecular Docking of Bioactive Components of Tawa-Tawa (Euphorbia Hirta L.) Leaves as Inhibitor against Galactofuranosyltransferase 2 (4FIX) of Mycobacterium Tuberculosis,"Monterola, C.P.",Jun-24,Scopus,Proceeding,2024 14th International Conference on Biomedical Engineering and Technology/ South Korea (ICBET 2024) ,South Korea,International Conference Proceedings by ACM (ISBN: 979-8-4007-1762-8),TO BE PRESENTED
MITL,,SDG 4; SDG 12,2024,Removal of Nitrate in Aqueous Solution by Adsorption using Activated Carbon from Peanut (Arachis hypogaea) Shells Impregnated with Zn2+ from ZnCl2 Solution,"Erasga, E.S.",Jun-24,Scopus,Proceeding,"2024 14th International Conference on Environmental and Agricultural Engineering (ICEAE 2024)/  in Bangkok, Thailand",Thailand,International Journal of Environmental Science and Development,ACCEPTED
MITL,CHE,SDG 4,2024,Characterization and Investigation of Biosorption of Copper (II) from Simulated Wastewater using Chemically Modified Cassava Leaves (Manihot Esculenta),"Abdon, R.G.P.",Jun-24,Scopus,Proceeding,"2024 14th International Conference on Environmental and Agricultural Engineering (ICEAE 2024)/  in Bangkok, Thailand",Thailand,International Journal of Environmental Science and Development,ACCEPTED
CHS,Nursing,SDG 3,2024,Nursesâ€™ Knowledge on the Prevention of Ventilator-Associated Pneumonia (VAP) among Critically Ill Patients,"Tupal, C.",Jun-24,Scopus,Journal,Submitted to Journal,,Nurse Media Journal for Nursing,PUBLISHED
ETYCB,,SDG 8; SDG 11,2024,Exploring the Influence of Omnichannel on Customer Behavior and Experience: The Case of Motorcycles and Automotive Companies,"Colaljo, J.M.;Moreno, D.E.L.",May-24,Scopus,Proceeding,"International Conference on E-Commerce, E-Business, E-Government (ICEEG 2024)/ UAE",United Arab Emirates,ACM Iternational Conference Proceedings,TO BE PRESENTED
CAS,MATH,SDG 4,2023,Development of Trigonometric Formula for Sin6nÏ´ and Cos6nÏ´ using Half Angle Identities as Mathematical Algorithm.,"Dampil, F.",Dec-23,Scopus,Proceeding,"2023 The 4th International Conference on Physics and Engineering and Mathematics  Conference at Wuhan, China / Shifted Online Presentation",China,"Proceedings Volume 13090, International Conference on Computer Application and Information Security (ICCAIS 2023",PUBLISHED
CAS,MATH,SDG 4,2023,Simplified Method of Evaluating Integrals of Powers of Tangent using Reduction Formula as Mathematical Algorithm,"Suello, L.",Dec-23,Scopus,Proceeding,"2023 The 4th International Conference on Physics and Engineering and Mathematics  Conference at Wuhan, China / Shifted Online Presentation",China,"Proceedings Volume 13090, International Conference on Computer Application and Information Security (ICCAIS 2023",PUBLISHED
CAS,MATH,SDG 4,2023,Lagrange multipliers applied to constrained minimization of surface area of a right pyramid with regular n-gon base,"Morfe, A.",Dec-23,Scopus,Proceeding,"2023 The 4th International Conference on Physics and Engineering and Mathematics  Conference at Wuhan, China / Shifted Online Presentation",China,"Proceedings Volume 13090, International Conference on Computer Application and Information Security (ICCAIS 2023",PUBLISHED
CAS,MATH,SDG 4,2023,Validation of the Derived Mathematical Formulas Correlating the Normal and Tangential Components of Acceleration with Its Rectangular (x-y) Components,"Fretten, R.",Dec-23,Scopus,Proceeding,"2023 The 4th International Conference on Physics and Engineering and Mathematics  Conference at Wuhan, China / Shifted Online Presentation",China,"Proceedings Volume 13090, International Conference on Computer Application and Information Security (ICCAIS 2023",PUBLISHED
CAS,MATH,SDG 4,2023,Studentsâ€™ Academic Performance Comparison under Different Modalities of Mapua MCL FLUX for Engineering Dynamics,"Velasco, R.",Dec-23,Scopus,Proceeding,"2023 The 4th International Conference on Physics and Engineering and Mathematics  Conference at Wuhan, China / Shifted Online Presentation",China,"Proceedings Volume 13090, International Conference on Computer Application and Information Security (ICCAIS 2023",PUBLISHED
CAS,MATH,SDG 4,2023,Simplified Method of Evaluating Integrals of Powers of Natural Logarithm Using Permutation,"Isles, R.;Isles, M.",Dec-23,Scopus,Proceeding,"2023 The 4th International Conference on Physics and Engineering and Mathematics  Conference at Wuhan, China / Shifted Online Presentation",China,"Proceedings Volume 13090, International Conference on Computer Application and Information Security (ICCAIS 2023",PUBLISHED
CAS,MATH,SDG 4,2023,Simplified Method of Evaluating Integrals of Powers of Cotangent,"Suello, L.E.",Dec-23,Scopus,Proceeding,"14th International Conference on Applied Physics and Mathematics(ICAPM 2024), Taipei, Taiwan, China",China,ICAPM 2024 Proceedings- IOP Journal of Physics: Conference Series,PUBLISHED
CAS,MATH,SDG 4,2023,"Mathematical Modeling of the Post-Covid 19 Pandemic Perception of Students on the Use of E-Learning for
Educational Sustainability","Dampil, F.",Dec-23,Scopus,Proceeding,"2023 The 4th International Conference on Physics and Engineering and Mathematics  Conference at Wuhan, China / Shifted Online Presentation",China,The 4th ICPEM Conference Proceedings,PUBLISHED
CCIS,IT,SDG 4; SDG 9; SDG 11,2023,Development of a Web-Based Student Curriculum Guide and Portfolio,"Kikuchi, K.G.",Nov-23,Scopus,Proceeding,"21st International Conference on ICT and Knowledge Engineering/ Siam University, Bangkok Thailand",Thailand,IEEE Xplore Conference Proceedings/ https://journals.scholarsportal.info/details/2157099x/v21inone/1_doawscgap.xml,PUBLISHED
CHS,Biology,SDG 13,2023,Teaching Disaster Risk Reduction and Management to Secondary School Students using Online Interactive Course,"Sarmiento, B.",Dec-23,Scopus,Proceeding,"2024 15th International Conference on E-Education, E-Businesses, E-Management, E-Learning (IC4E 2024) / Fukoaka, Japan",Japan,IC4E 2024 conference proceedings/ ACM Iternational Conference Proceedings,UNDER EVALUATION
ETYCB,Business Administration,SDG 8; SDG 11,2023,The Role of Loan-Related Risk Appetite in the Relationship Between Financial Risk Consideration and MSME Growth Decision: A Mediation Analysis,"Moreno, D.E.L.;Deocariza, L.",Apr-23,Scopus,Journal,Directly Submitted to Journal of Risk and Financial Management,,Journal of Risk and Financial Management/ https://www.mdpi.com/1911-8074/16/5/261,PUBLISHED
ETYCB,Business Administration,SDG 8; SDG 11,2023,"The Mediating Effect of Replenishment Decisions on Cloud-Based Inventory Management and Record Keeping Performance: Evidence from Micro Businesses in Laguna, Philippines","Moreno, D.E.L.",Oct-23,Scopus,Proceeding, 7th International Conference on E-Business and Internet (ICEBI)/ Singapore,Singapore,International Conference Proceedings of ICEBI 2023,WAITING FOR PUBLICATION
ETYCB,Business Administration,SDG 8; SDG 11,2023,"Mobile Accounting Information Systems Adoption of Micro Businesses in Laguna, Philippines: Integration of TAM and TOE Approach","Moreno, D.",Dec-23,Scopus,Proceeding,"2024 15th International Conference on E-Education, E-Businesses, E-Management, E-Learning (IC4E 2024)/ Fukuoaka, Japan",Japan,IC4E 2024 Proceedings/ ACM Conference Proceedings,WAITING FOR PUBLICATION
ETYCB,Marketing,SDG 8,2023,The Impact of Mobile-Commerce Application Characteristics on Customerâ€™s Perceived Experience and Spending Habits in the Philippines,"Moreno, D.E.L.",Oct-23,Scopus,Proceeding, 7th International Conference on E-Business and Internet (ICEBI)/ Singapore,Singapore,International Conference Proceedings of ICEBI 2023,WAITING FOR PUBLICATION
ETYCB,Marketing,SDG 8,2023,The Mediating Effect of Online Trust on the Relationship of Consumer Engagement to Purchase Intention of Gen Z: THe Case of Tik Tok Shop Cues,"Moreno, D.E.L.",Aug-23,Scopus,Proceeding,"The 8th International Conference on Business and Information Management /16-18 August, 2024 |Pattaya,Thailand",Thailand,The 7th International Conference on Business and Information Management (ICBIM)/ https://www.researchgate.net/publication/375435084_The_Mediating_Effect_of_Online_Trust_on_the_Relationship_of_Consumer_Engagement_to_Purchase_Intention_of_Gen_Z_The_Case_of_TikTok_Shop_Cues,PUBLISHED
ETYCB,Tourism,SDG 8; SDG 11,2023,Exploring the Eco-Tourism Paradox: Perspective of Local Residents in Accredited Ecotourism Sites in laguna Provice Towards Exotourism Sustainable Development Plan.,"Ruiz, M.U.",Aug-23,Scopus,Journal,3rd International Conference on Responsible Tourism and Hospitality (ICRTH 2023)/ Bogor Indonesia,Indonesia,IOP Conference Series: Earth and Environmental Science,WAITING FOR PUBLICATION
ETYCB,Tourism,SDG 11 ,2023,Sustainable Tourism Pedagogy Quadrant for Transformative Education: A Student Perspective,"Ruiz, M.U.",Aug-23,Scopus,Journal,3rd International Conference on Responsible Tourism and Hospitality (ICRTH 2023)/ Bogor Indonesia,Indonesia,IOP Conference Series: Earth and Environmental Science,WAITING FOR PUBLICATION
ETYCB,Tourism,SDG 11; SDG 4,2023,Service-Learning Pedagogy: A Pathway Empowering Students as Catalyst for Civing Engagement and Community Development,"Felismonte, I.B.",Aug-23,Scopus,Journal,3rd International Conference on Responsible Tourism and Hospitality (ICRTH 2023)/ Bogor Indonesia,Indonesia,IOP Conference Series: Earth and Environmental Science,WAITING FOR PUBLICATION
MITL,CHE,SDG 13; SDG 6,2023,Response Surface Methodology Design and Optimization of Inorganic Phosphate Removal from Simulated Wastewater Effluent Utilizing Caulerpa lentillifera Algal Powder,"Panaligan, T.R.L.",Oct-23,Scopus,Proceeding,The 9th International Conference on Low Carbon Asia/ Tokyo Japan,Japan,Chemical Engineeting Transactions https://www.cetjournal.it/index.php/cet/article/view/CET23106011,PUBLISHED
MITL,CHE,SDG 7; SDG 12,2023,Performance Study of Double Chamber  Microbial Fuel Cell Operating with Dihydrogen Phytosilicate Clay and Activated Carbon from Coconut Shell as Proton Exchange Membrane ,"Abdon, R.G.P.",Oct-23,Scopus,Proceeding,The 9th International Conference on Low Carbon Asia/ Tokyo Japan,Japan,Chemical Engineeting Transactions https://www.cetjournal.it/cet/23/106/007.pdf,PUBLISHED
MITL,CHE,SDG 6,2023,"Synthesis, Characterization, and Utilization of Water Hyacinth (Eichhornia Crassipes) Magnetic Bichar for Nitrate Removal from Simulated Wastewater","Panaligan, T.",Dec-23,Scopus,Proceeding,10th International Conference on Nanomaterials and Materials Engineering/ Singapore (Online Participation),Singapore,Solid State Phenomena https://www.researchgate.net/publication/379933316_Synthesis_Characterization_and_Utilization_of_Water_Hyacinth_Eichhornia_crassipes_Magnetic_Biochar_for_Nitrate_Removal_from_Simulated_Wastewater ,PUBLISHED
MITL,CHE,SDG 12,2023,Evaluation of recycled polypropylene (PP) made from plastic cups as filaments for additive manufacturing,"Abdon, R.G.P.",Dec-23,Scopus,Proceeding,10th International Conference on Nanomaterials and Materials Engineering/ Singapore (Online Participation),Singapore,Solid State Phenomena https://www.scientific.net/KEM.980.75,PUBLISHED
MITL,CHE,SDG 11; SDG 12,2023,Determination of the Optimal Jar Mill Setting for Crushed Eggshells Used in LDPE Tile creation,"De Los Reyes, R.A.S.",Mar-23,Scopus,Proceeding,2023 14th International Conference on Materials and Manufacturing Technologies/ https://www.scientific.net/KEM.956.213,,Key Engineering Materials,PUBLISHED
MITL,CPE,SDG 12; SDG 15,2023,Recipe Recommendation System using IoT-based Food Inventory Management of Perishables for Household Food Waste Reduction,"Ortiz, K.J.P.",Oct-23,Scopus,Proceeding,The 9th International Conference on Low Carbon Asia/ Tokyo Japan/ https://www.cetjournal.it/cet/23/106/061.pdf,Japan,Chemical Engineeting Transactions,PUBLISHED
MITL,CPE,SDG 14,2023,A Low-Cost Electronic Food Nose IoT-Based Fish Quality Monitoring System,"Pabiania, M.D.",Oct-23,Scopus,Proceeding,The 9th International Conference on Low Carbon Asia/ Tokyo Japan/ https://www.cetjournal.it/index.php/cet/article/view/CET23106082,Japan,Chemical Engineeting Transactions,PUBLISHED
MITL,ECE,SDG 11,2023,Efficient and Low-Cost Method of Smart Indoor Vertical Farming for Lactuca Sactiva L. with Machine Learning,"Garcillanosa, M.M.",Oct-23,Scopus,Proceeding,The 9th International Conference on Low Carbon Asia/ Tokyo Japan/ https://www.cetjournal.it/cet/23/106/090.pdf,Japan,Chemical Engineeting Transactions,PUBLISHED
MITL,ECE,SDG 11,2023,Design of Smart Weed Control System with Consideration of Herbicide Persistence Using Supervised Learning,"Garcillanosa, M.M.",Oct-23,Scopus,Proceeding,The 9th International Conference on Low Carbon Asia/ Tokyo Japan/ https://www.cetjournal.it/cet/23/106/023.pdf,Japan,Chemical Engineeting Transactions,PUBLISHED
MITL,ME,SDG 12; SDG 15,2023,Hammer mill design with flat vertical parallel blades for moringa flakes production,"Atienza, A.H.",Feb-23,Scopus,Proceeding,3rd International ICETIR 2021/ AIP Conference/ https://pubs.aip.org/aip/acp/article-abstract/2482/1/110004/2867348/Hammer-mill-design-with-flat-vertical-parallel?redirectedFrom=fulltext,,AIP Conference Proceeding,PUBLISHED
MITL,ME,SDG 12; SDG 15,2023,Development of a Farm Scale Agricultural Water Sprinkler for Crop Irrigation,"Atienza, A.H.",Feb-23,Scopus,Proceeding,3rd International ICETIR 2021/ AIP Conference/  https://pubs.aip.org/aip/acp/article-abstract/2482/1/110003/2867471/Development-of-a-farm-scale-agricultural-water?redirectedFrom=fulltext,,AIP Conference Proceeding,PUBLISHED
CAS,MATH,SDG 4,2022,Preference analysis on the online learning attributes among senior high school students during the COVID-19 pandemic: A conjoint analysis approach,"Morfe, A.S.",Apr-22,Scopus,Journal,Directly Submitted to Journal of Business and Management Studies,,Journal of Business and Management Studies (JBMS) ISSN 2709-0876 DOI: 10.32996/jbms,PUBLISHED
CCIS,CS,SDG 4; SDG 9,2022,Sparse: A Reservation and Computer Vision-Based Room Occupancy System for Malayan Colleges Laguna's Center for Learning and Information Resources,"Contreras, J.",Apr-22,Non-Scopus,Proceeding,The 7thÃ‚Â International Research Conference on Sciences and Technology 2022Ã‚Â (RSUSCI-2022),,Proceeding of The 7thÃ‚Â International Research Conference on Sciences and Technology,PUBLISHED
CCIS,IT,SDG 3; SDG 9; SDG 11,2022,Wearable Tool for Breathing Pattern Recognition and Exacerbation Monitoring for COPD Patients via a Device to-Cloud Communication Model,"Martillano, D.A.",Jun-22,Scopus,Journal,Directly submitted to Journal of Communications Vol. 17.no. ,,Journal of Communications Vol. 17.no.,PUBLISHED
ETYCB,Marketing,SDG 8,2022,The Impact of COVID-19 Pandemic on Consumer Usage Intention of Electronic Wallets in the Philippines,"Moreno, D.E.L.",Apr-22,Non-Scopus,Proceeding,Directly Submitted to Journal of Business and Management Studies (JBMS) ISSN 2709-0876 ,,Journal of Business and Management Studies (JBMS) ISSN 2709-0876 ,PUBLISHED
ETYCB,Tourism,SDG 11; SDG 13,2022,Sustainable Tourism Pedagogy as a Strategy Towards Transforming Individuals leading into a Sustainable Collaboration,"Ruiz, M.U.",Nov-22,Non-Scopus,Proceeding,"SIKAT International Tourism Congress on November 28-29, 2022, hosted by LPU-Batangas",,Proceeding of SIKAT International Tourism Congress ,PUBLISHED
MITL,ChE,SDG 11; SDG 12,2022,Flattening of Bamboo Culm while Softening in Palm Oil and Subsequent Mechanical Characterization,"Delos Reyes, R.A.S.",Sep-22,Scopus,Proceeding,The 6th International Conference on Building Materials and Materials Engineering/ Barcelona Spain (Online Participation),Spain,"Materials Science Fourm 1082, 0.270-276",PUBLISHED
CCIS,CS,SDG 4; SDG 13 ,2021,Design of Predictive Model in Classifying Turbidity Using Data Mining Techniques,"Ebron, J.G.",Apr-22,Non-Scopus,Proceeding,The 7thÃ‚Â International Research Conference on Sciences and Technology 2022Ã‚Â (RSUSCI-2022),,Proceeding of The 7thÃ‚Â International Research Conference on Sciences and Technology,PUBLISHED
